開學	kai1//xue2	verb school opens; term begins 九月一日開學。 Jiǔyuè yī rì kāixué. The term will begin on September 1.
專家	zhuan1jia1	noun expert; specialist 水稻專家 shuǐdào zhuānjiā expert in rice-growing 眼科專家 yǎnkē zhuānjiā ophthalmologist; eye specialist 世界級的專家 shìjièjí dezhuānjiā world expert
全面	quan2mian4	adjective overall; comprehensive; all-round (opp. 片面) 全面崩潰 quánmiàn bēngkuì total collapse; débâcle 全面經驗 quánmiàn jīngyàn extensive experience 全面開花 quán miàn kāi huā figurative succeed (or develop smoothly) in every aspect 全面總結 quánmiàn zǒngjié comprehensive summing-up 全面地看問題 quánmiàn de kàn wèntí look at problems all-sidedly 全面落實黨的各項政策 quánmiàn luòshí dǎng de gèxiàng zhèngcè implement the Party’s policies in an all-round way 全面禁止和徹底銷毀核武器 quánmiàn jìnzhǐ hé chèdǐ xiāohuǐ héwǔqì complete prohibition and thorough destruction of nuclear weapons 這種看法不全面。 Zhèzhǒng kànfǎ bù quánmiàn. This is not an all-sided view.  學生要德智體全面發展。 Xuésheng yào dé zhì tǐ quánmiàn fāzhǎn. Students are expected to develop in an all-round way—morally, intellectually and physically. 有關這次會議他說得非常全面。 Yǒuguān zhè cì huìyì tā shuō de fēicháng quánmiàn. His account of the meeting was most comprehensive.
民意	min2yi4	noun will of the people; popular will
代表	dai4biao3	noun deputy; delegate; representative 常駐代表 chángzhù dàibiǎo permanent representative (or delegate) 雙方代表 shuāngfāng dàibiǎo representatives from both sides 全國人大代表 Quánguó Rén-Dà dàibiǎo deputy to the National People’s Congress  verb 1 represent; stand for 代表時代精神 Dàibiǎo shídài jīngshén embody the spirit of the era 代表大多數人的利益 dàibiǎo dàduōshù rén de lìyì represent the interests of most people 這三個人代表三種不同性格。 Zhè sān ge rén dàibiǎo sān zhǒng bùtóng xìnggé. These three persons represent three different types of character. 2 on behalf of; in the name of 代表全廠工人講話 dàibiǎo quán chǎng gōngrén jiǎnghuà speak in the name of the workers of the factory 代表我國政府表示衷心的感謝 dàibiǎo wǒguó zhèngfǔ biǎoshì zhōngxīn de gǎnxiè express heartfelt thanks on behalf of our government
處理	chu3li3	verb 1 handle; deal with; dispose of 處理國家大事 chǔlǐ guójiā dàshì conduct state affairs 處理日常事務 chǔlǐ rìcháng shìwù handle day-to-day work; deal with routine matters 必須嚴加處理 bìxū yánjiā chǔlǐ should be dealt with sternly 正確處理人民內部矛盾 Zhèngquè chǔlǐ rénmín nèibù máodùn correctly handle contradictions among the people 我處理完家務就來。 Wǒ chǔlǐ wán jiāwù jiù lái. I’ll come along as soon as I’m through with my household chores. 這事請保衛科處理。 Zhè shì qǐng bǎowèikē chǔlǐ. Please refer the matter to the security section. 2 treat sth. by a special process; process 熱處理 rèchǔlǐ heat treatment 垃圾處理 lājī chǔlǐ garbage disposal 污水處理 wūshuǐ chǔlǐ sewage disposal 廢物處理 fèiwù chǔlǐ waste disposal 文字處理 wénzì chǔlǐ word processing 數據處理 shùjù chǔlǐ data processing 用硫酸處理 yòng liúsuān chǔlǐ treat with sulphuric acid 3 sell at reduced prices; sell off 處理積壓商品 chǔlǐ jīyā shāngpǐn sell old stock at reduced prices
政黨	zheng4dang3	noun political party
難道	nan2dao4	adverb [giving force to a rhetorical question] 難道就罷了不成？ Nándào jiù bàle bù chéng？ How can we let the matter rest here? 難道你忘了自己的諾言嗎？ Nándào nǐ wàng le zìjǐ de nuòyán ma？ Can you have forgotten your promise? 這難道還不明白嗎？ Zhè nándào hái bù míngbai ma？ Isn’t this perfectly clear? 這一點兒困難難道我們還不能克服嗎？ Zhè yīdiǎnr kùnnan nándào wǒmen hái bù néng kèfú ma？ Are we unable to overcome even such little difficulties?
滿	man3	adjective 1 full; filled; packed 滿身是血 mǎn shēn shì xuè covered with blood 滿滿一卡車煤 mǎnmǎn yī kǎchē méi a full truckload of coal 滿腦子封建思想 mǎn nǎozi fēngjiàn sīxiǎng steeped in feudal ideology 果樹滿山坡。 Guǒshù mǎn shānpō. The slope was covered with fruit trees. 歡聲笑語滿山村。 Huānshēngxiàoyǔ mǎn shāncūn. The mountain village rang with cheers and laughter. 屋裡坐滿了人。 Wū lǐ zuò mǎn le rén. The room was packed with people. 兩個抽屜都滿了。 liǎng ge chōuti dōu mǎn le. Both drawers are full. 話不能說得太滿, 太絕。 huà bùnéng shuōde tài mǎn, tài jué. One shouldn’t speak in absolute terms, leaving no room for compromise. 2 satisfied 不滿 bùmǎn dissatisfied 3 complacent; conceited 自滿 zìmǎn complacent; self-satisfied  verb 1 fill 再給你滿上(一杯)。 Zài gěi nǐ mǎn shàng yī bēi. Let me fill your glass once more. 2 expire; reach the limit 年滿十八的公民 Nián mǎn shíbā de gōngmín citizens who have reached the age of 18 假期已滿。 Jiàqī yǐ mǎn. The holidays are over. 她學徒還不滿一年。 Tā xuétú hái bù mǎn yī nián. It’s not quite a year since she became an apprentice.  adverb 1 completely; entirely; perfectly 滿有信心 Mǎn yǒu xìnxīn be fully confident 滿不是那麼回事。 Mǎn bù shì nàme huí shì. That’s not what happened at all. 我滿以為他會同意的。 Wǒ mǎn yǐwéi tā huì tóngyì de. I had counted on him to agree. 2 quite; very 您說的滿對。 Nín shuō de mǎn duì. What you said is quite right. 這首歌滿好聽。 Zhè shǒu gē mǎn hǎotīng. This song is very pleasing. 節目倒也滿不錯。 Jiémù dào yě mǎn bùcuò. The performances were pretty good.  noun (Mǎn) 1 Manchu ethnic group See 26518528滿族man3zu2滿族 2 a surname
憲法	xian4fa3	noun constitution; charter 憲法草案 xiànfǎ cǎo'àn draft constitution 中華人民共和國憲法 Zhōnghuá Rénmín Gònghéguó xiànfǎ the Constitution of the People’s Republic of China
投票權	tou2piao4quan2	suffrage
選舉	xuan3ju3	noun election 選舉程序 xuǎnjǔ chéngxù electoral procedure (or proceedings) 選舉結果 xuǎnjǔ jiéguǒ election results (or returns)  verb elect 選舉會議主席 xuǎnjǔ huìyì zhǔxí elect a chairperson 無記名投票選舉 Wújìmíng tóupiào xuǎnjǔ elect by secret ballot
權利	quan2li4	noun right 勞動的權利 Láodòng de quánlì the right to work 受教育的權利 shòu jiàoyù de quánlì the right to education
表示	biao3shi4	noun expression; indication 友好的表示 Yǒuhǎo de biǎoshì expression of friendship; friendly gesture 接吻是愛的表示。 jiēwěn shì ài debiǎoshì. Kissing is a sign of affection.  verb show; express; indicate 表示憤慨 Biǎoshì fènkǎi voice (or express) one’s indignation 表示關切 biǎoshì guānqiè show concern 表示歉意 biǎoshì qiànyì offer one’s regrets; offer an apology 表示熱烈歡迎 biǎoshì rèliè huānyíng extend a warm welcome 發高燒表示有病。 Fā gāoshāo biǎoshì yǒu bìng. A high fever indicates sickness. 我們謹向你們表示衷心的祝賀。 Wǒmen jǐn xiàng nǐmen biǎoshì zhōngxīn de zhùhè. We wish to convey to you our hearty congratulations.
反映	fan3ying4	verb 1 reflect; mirror 反映新時代的特點 Fǎnyìng xīn shídài de tèdiǎn mirror the features of our new age 反映了人民的根本利益 fǎnyìng le rénmín de gēnběn lìyì represent the fundamental interests of the people 這張報紙反映知識分子的看法和意見。 Zhè zhāng bàozhǐ fǎnyìng zhīshi fènzǐ de kànfǎ hé yìjian. The newspaper reflects the intellectuals’ views and opinions. 2 report; make known 向上級反映 Xiàng shàngjí fǎnyìng report to the higher level 把群眾的呼聲及時反映上去 bǎ qúnzhòng de hūshēng jíshí fǎnyìng shàngqu transmit the voices of the people to the leading bodies without delay 我將經常向您反映進度。 Wǒ jiāng jīngcháng xiàng nín fǎnyìng jìndù. I’ll keep you informed of the progress made.
為	wei4	preposition 1 in the interest of; for 為大多數人謀利益 Wèi dàduōshù rén móu lìyì work in the interests of the vast majority 2 because of 為勝利而歡呼 Wèi shènglì ér huānhū hail a victory 為我們的友誼乾杯！ Wèi wǒmen de yǒuyì gānbēi! A toast to our friendship! 3 for the purpose of; for the sake of 為方便起見 wèi fāngbiàn qǐjiàn for the sake of convenience 不為名, 不為利 bù wèi míng, bù wèi lì seek no personal fame or gain 讓我們為實現這一宏偉目標而共同努力。 Ràng wǒmen wèi shíxiàn zhè yī hóngwěi mùbiāo ér gòngtóng nǔlì. Let us strive together to attain this splendid goal. 4 to; towards 他為我送來一份請帖。 Tā wèi wǒ sòng lái yī fèn qǐngtiě. He’s sent me an invitation. 且為諸君言之。 Qiě wèi zhūjūn yán zhī. I’ll let you know.  verb literary stand for; support
服務	fu2wu4	verb give service to; be in the service of; serve 服務周到 Fúwù zhōudao provide good service 提高服務質量 tígāo fúwù zhìliàng improve one’s service 為人民服務。 Wèi rénmín fúwù. Serve the people. 他在郵局服務了三十年。 Tā zài yóujú fúwù le sānshí nián. He served in the post office for thirty years.
職位	zhi2wei4	noun position; post 職位高 zhíwèi gāo hold a high position 職位低 zhíwèi dī hold a lowly position
任期	ren4qi1	noun term of office; tenure of office 主席任期已滿。 Zhǔxí rènqī yǐ mǎn. The term of the Presidency has expired.
選民	xuan3min2	noun voter; elector 選民登記 Xuǎnmín dēngjì registration of voters 全體選民 quántǐ xuǎnmín constituency; electorate
完美	wan2mei3	adjective perfect; consummate 他的演奏很完美。 tā de yǎnzòu hěn wánměi. He gave a perfect performance.
積極	ji1ji2	adjective 1 positive 積極財政政策 jījí cáizhèng zhèngcè proactive fiscal policy 做出積極貢獻 zuòchū jījí gòngxiàn make positive contributions 2 active; energetic; vigorous 積極思考 jījí sīkǎo active thinking 積極向上 jījí xiàngshàng set high goals for oneself 積極進取的精神 jījí jìnqǔ de jīngshén pioneering spirit 採取積極措施 Cǎiqǔ jījí cuòshī adopt vigorous measures 他工作積極, 受到獎勵。 tā gōngzuò jījí, shòudào jiǎnglì. He was given an award for being a hard worker. 他鍛煉身體一向很積極。 Tā duànliàn shēntǐ yīxiàng hěn jījí. He has always been very keen on doing physical exercises.
最佳	zui4jia1	adjective 1 best 最佳狀態 zuìjiā zhuàngtài best form; best condition 最佳運動員 zuìjiā yùndòngyuán the best athlete (or player) 提供最佳服務 tígōng zuìjiā fúwù provide the best service 2 physics optimum 最佳諧振 zuìjiā xiézhèn optimum resonance
推銷員	tui1xiao1yuan2	salesman
有道理	you3//dao4li3	verb reasonable; there is truth in; be well founded 她說的有點兒道理。 Tā shuō de yǒudiǎnr dàolǐ. She is quite right in saying so. See 19749632道理dao4li5道理
候選人	hou4xuan3ren2	noun candidate 提名候選人 tímíng hòuxuǎnrén nominate candidates
// 3.12 - 2
學術界	xue2shu4jie4	academic circles
從政	cong2zheng4	verb go into politics; pursue a political career
政策	zheng4ce4	noun policy 政策教育 zhèngcè jiàoyù inform about policy; policy training 劃清政策界限 huàqīng zhèngcè jièxiàn establish clear policy lines; apply a policy clearly and unambiguously 提高政策水平 tígāo zhèngcè shuǐpíng improve the grasp of policy; raise policy awareness
安定	an1ding4	noun pharmacy diazepam; tranquilizer 大劑量服用安定很危險。 dà jìliàng fúyòng āndìng hěn wēixiǎn. Heavy doses of tranquilizers are dangerous.  verb stabilise; maintain 安定人心 āndìng rénxīn reassure the public; set people’s minds at rest 安定社會秩序 āndìng shèhuì zhìxù maintain social order 局勢安定下來了。 Júshì āndìng xiàlai le. The situation has calmed down. or Calm has been restored. 我的話使他畏懼的心境暫時安定下來。 Wǒ dehuà shǐ tā wèijù de xīnjìng zànshí āndìng xiàlai. My words calmed his fears for a while.  adjective stable; quiet; settled 安定的社會環境 āndìng de shèhuì huánjìng stable social environment 生活安定 shēnghuó āndìng live a stable (or settled) life 確保安定團結的政治局面 Quèbǎo āndìng tuánjié de zhèngzhì júmiàn secure political stability and unity
辭	ci2	noun 1 diction; phraseology 《辭海》 «cí hǎi» An Unabridged Comprehensive Dictionary 修辭 xiūcí rhetoric 祝辭 zhùcí congratulatory speech 2 a type of classical Chinese literature 《楚辭》 《Chǔ Cí》 The Songs of Chu 3 a form of classical poetry 《木蘭辭》 《Mùlán Cí》 The Ballad of Mulan  verb 1 take leave 朝辭白帝城 cháo cí Báidìchéng bid farewell to Baidi city at dawn 2 decline; resign 固辭 gùcí firmly decline 他辭了科長的職務。 Tā cí le kēzhǎng de zhíwù. He resigned his post of section chief. 3 dismiss; discharge 老闆把他給辭了。 Lǎobǎn bǎ tā gěi cí le. His boss dismissed him. 4 shirk 不辭辛苦 bùcíxīnkǔ spare no effort; take the trouble to
頭腦	tou2nao3	1 brains 2 mind 3 skull 4 (fig.) gist (of a matter) 5 leader 6 boss
改革	gai3ge2	noun reform; reformation 工具改革 gōngjù gǎigé improvement of tools 政治改革 zhèngzhìgǎigé political reform  verb revamp; reform 改革規章制度 gǎigé guīzhāng zhìdù reform rules and regulations 改革經濟管理體制 Gǎigé jīngjì guǎnlǐ tǐzhì reform the economic management system
看法	kan4fa3	noun 1 way of looking at a thing; (point of) view; opinion; perspective 看法完全一致 kànfa wánquán yīzhì see eye to eye with sb.; fall in with sb.’s views; meet sb.’s view 當局對這次爭端有什麼看法？ dāngjú duì zhècì zhēngduān yǒu shénmekànfa? What’s the authorities’ attitude towards this discord? 2 unfavourable (or critical) view of sb. 我對一個候選人有看法。 Wǒ duì yī ge hòuxuǎnrén yǒu kànfa. I’m critical of one of the candidates.
教育	jiao4yu4	noun education 教育信息化 jiàoyù xìnxī huà apply IT to education 他受過大學教育。 Tā shòu guò dàxué jiàoyù. He has had a college education. 他沒受過多少教育。 tā méi shòuguò duōshaojiàoyù. He didn’t receive much education.  verb teach; educate; inculcate 教育人, 塑造人 jiàoyù rén, sùzào rén educate people and mould their minds 要教育孩子懂禮貌。 yào jiàoyù háizi dǒng lǐmào. We should teach our children to have good manners. 那本書起了巨大的教育作用。 Nà běn shū qǐ le jùdà de jiàoyù zuòyòng. That book has played a great educative role.
方面	fang1mian4	noun respect; aspect; side; field 在這方面 zài zhè fāngmiàn in this respect 站在我們這方面 zhàn zài wǒmen zhè fāngmiàn stand on our side; take our side 考慮各方面的意見 kǎolǜ gè fāngmiàn de yìjian consider opinions from different quarters 在工業, 商業, 財政方面 zài gōngyè, shāngyè, cáizhèng fāngmiàn in the fields of industry, commerce and finance 這個問題可以從兩方面來看。 Zhège wèntí kěyǐ cóng liǎng fāngmiàn lái kàn. This subject may be viewed from two aspects. See 34360832一方面yi1fang1mian4一方面
得到	de2//dao4	verb get; obtain; gain; receive 得到及時治療 dédào jíshí zhìliáo get timely medical treatment 得到全世界的支持 dédào quánshìjiè de zhīchí enjoy worldwide support
連任	lian2//ren4	verb be reappointed or re-elected consecutively; renew one's term of office 連任部長 liánrèn bùzhǎng be reappointed minister 連任總統 liánrèn zǒngtǒng be re-elected president 競選連任 jìngxuǎn liánrèn run for re-election
屆	jie4	verb fall due  measure word [for meetings, graduating classes, etc.] 第十一屆全國人民代表大會 dì shíyī jiè quánguó Rénmín Dàibiǎo Dàhuì the Eleventh National People’s Congress (2008)
支持度	zhi1chi2du4	1 degree of support 2 percentage of vote
落選	luo4//xuan3	verb fail to be chosen; lose an election (opp. 入選, 當選)
得票率	de2piao4lü4	percentage of votes obtained
預期	yu4qi1	verb expect; anticipate; envision 達到預期效果 dádào yùqī xiàoguǒ achieve the desired (or hoped-for) results 結果和預期的相反。 Jiéguǒ hé yùqī de xiāngfǎn. The results are contrary to expectations.
暫	zhan4	1 temporary 2 Taiwan pr. [zhàn]
老家	lao3jia1	noun native place; old home 回老家 huílǎojiā return home (or to one’s place of birth) for a visit 我老家在山東。 Wǒ lǎojiā zài Shāndōng. I am from Shandong.
形象	xing2xiang4	noun 1 image; form; figure 圖畫教學通過形象發展兒童認識事物的能力。 Túhuà jiàoxué tōngguò xíngxiàng fāzhǎn értóng rènshi shìwù de nénglì. The use of pictures in classroom teaching helps children to understand things through images. 2 literary or artistic image; imagery 塑造英雄形象 Sùzào yīngxióng xíngxiàng create images of heroes and heroines 這個電視劇形象地表現了拓荒者們堅韌不拔的精神。 Zhège diànshìjù xíngxiàng de biǎoxiàn le tuòhuāngzhě men jiānrènbùbá de jīngshén. The teleplay vividly depicts the dauntless spirit of the trailblazers.  adjective vivid
商量	shang1liang5	verb consult; discuss; talk over 有事同群眾商量。 Yǒu shì tóng qúnzhòng shāngliang. Consult the masses when matters arise. 這事可以商量著辦。 Zhè shì kěyǐ shāngliang zhe bàn. That can be settled through discussion. 咱們得找主任商量一下。 Zánmen děi zhǎo zhǔrèn shāngliang yīxià. We ought to talk it over with the director.
人脈	ren2mai4	noun social relationship; connections 他人脈很廣。 tā rénmài hěn guǎng. He is well connected.
弱勢	ruo4shi4	noun disadvantage; unfavourable condition (opp. 強勢) 處於弱勢 chǔyú ruòshì be at a disadvantage
退休	tui4xiu1	verb retire 提前退休 tíqián tuìxiū early retirement (71591467離退休li2tui4xiu1離退休 li2-tui4xiu1)
事業	shi4ye4	noun 1 cause; undertaking; career 事業順利 shìyè shùnlì successful career 革命事業 gémìng shìyè revolutionary cause 文化教育事業 wénhuà jiàoyù shìyè cultural and educational undertakings 2 institution; facilities 公用事業 gōngyòng shìyè public utilities 集體福利事業 jítǐ fúlì shìyè collective welfare facilities (or services)
捐	juan1	noun tax 車捐 chējuān tax on cars, etc.  verb 1 literary relinquish; abandon 細大不捐 xìdàbùjuān reject nothing, big or small 2 contribute; donate; subscribe 向基金會捐一筆錢 xiàng jījīnhuì juān yī bǐ qián donate some money to the foundation
義務	yi4wu4	noun duty; obligation 條約規定的義務 tiáoyuē guīdìng de yìwù treaty obligations 履行所承擔的義務 lǚxíng suǒ chéngdān de yìwù carry out commitments; fulfill one’s duty 公民的基本權利與義務 Gōngmín de jīběn quánlì yǔ yìwù fundamental rights and duties of citizens 子女對父母有贍養的義務。 Zǐnǚ duì fùmǔ yǒu shànyǎng de yìwù. Children have the duty to support their parents.  adjective volunteer; voluntary 義務植樹 yìwù zhíshù voluntary tree-planting
經費	jing1fei4	noun funds; outlay 經費包乾 jīngfèi bāogān bear full responsibility for one’s expenditure (esp. referring to office expenses, research funds, etc.) 經費不足 jīngfèi bùzú short of funds 行政經費 xíngzhèng jīngfèi administrative expenditure
競選	jing4xuan3	verb enter into an election contest; campaign for (office); run for 競選總統 jìngxuǎn zǒngtǒng run for the presidency
也許	ye3xu3	adverb perhaps; probably; maybe 他也許病了。 Tā yěxǔ bìng le. Perhaps he’s ill. 也許我不該告訴他的。 Yěxǔ wǒ bù gāi gàosu tā de. Perhaps I shouldn’t have told him.
政治	zheng4zhi4	noun politics; political affairs 政治上可靠 zhèngzhì shàng kěkào politically reliable 政治歷史清白(清楚) Zhèngzhì lìshǐ qīngbái (qīngchu) have a clean (clear) political record
權力	quan2li4	noun 1 power; authority 權力下放 quánlì xiàfàng transfer (or delegate) power to lower levels 國家權力機關 Guójiā quánlì jīguān organs of state power 一切權力屬於人民。 Yīqiè quánlì shǔyú rénmín. All power belongs to the people. 2 scope of power; extent of authority; jurisdiction 行使會議主席的權力 xíngshǐ huìyì zhǔxí de quánlì exercise the functions of chairman of a conference; invoke the authority of chairman of a conference 這是他權力範圍以內的事。 Zhè shì tā quánlì fànwéi yǐnèi de shì. This matter comes within his jurisdiction.
辭掉	ci2diao4	1 to quit (one's job) 2 to dismiss (an employee)
提出	ti2//chu1	verb put forward; advance; pose; raise 提出建議 Tíchū jiànyì put forward a proposal; make a suggestion 提出警告 tíchū jǐnggào give (or serve) a warning 提出抗議 tíchū kàngyì lodge a protest 提出申請 tíchū shēnqǐng submit an application; apply 提出程序問題 tíchū chéngxù wèntí raise a point of order 提出響亮的口號 Tíchū xiǎngliàng de kǒuhào issue a strong call 提出修改和補充意見 tíchū xiūgǎi hé bǔchōng yìjian propose amendments and addenda 提出一種新的理論 tíchū yī zhǒng xīn de lǐlùn advance a new theory 向自己提出更高的要求 xiàng zìjǐ tíchū gèng gāo de yāoqiú make still greater demands on oneself 新的形勢向我們提出了新的課題。 Xīn de xíngshì xiàng wǒmen tíchū le xīn de kètí. The new situation has put new questions before us.
國民年金	Guo2min2 Nian2jin1	(Tw) National Pension, a social security scheme in Taiwan
選民	xuan3min2	noun voter; elector 選民登記 Xuǎnmín dēngjì registration of voters 全體選民 quántǐ xuǎnmín constituency; electorate
一陣子	yi1zhen4zi5	noun 1 burst; fit; peal 一陣咳嗽 yīzhèn késou a fit (or spasm) of coughing 一陣狂風 yīzhèn kuángfēng a violent gust of wind; a blast (of wind) 一陣槍聲 yīzhèn qiāngshēng a burst of gunfire 一陣掌聲 Yīzhèn zhǎngshēng a burst of applause 臉上紅一陣, 白一陣 liǎnshàng hóng yīzhèn, bái yīzhèn one’s face turning now red, now pale 一陣陣笑聲 yī zhènzhèn xiàoshēng peals of laughter 2 period (of time); spell 她病了好一陣了。 Tā bìng le hǎo yīzhèn le. She has been ill for quite a long time. 這一陣盡下雨。 Zhè yīzhèn jìn xià yǔ. We’ve had a spell of rainy weather recently.
下一步	xia4yi1bu4	the next step
儘可能	jin3ke3neng2	adverb as far as possible; to the best of one's ability 儘可能早點兒來 Jǐnkěnéng zǎo diǎnr lái come as early as possible 我儘可能做好。 Wǒ jǐnkěnéng zuò hǎo. I’ll do my best.
出版社	chu1ban3she4	publishing house; press
// 4.1 - 1
聊天室	liao2tian1shi4	chat room
上班族	shang4ban1 zu2	office workers; white-collar workers; wage earners; commuters
與其	yu3qi2	conjunction [correlatively with 不如 or 毋寧] rather than; better than 與其你去, 不如我去。 Yǔ qí nǐ qù, bù rú wǒ qù. Rather than having you go, it’d be better if I went. 你與其坐車, 不如坐船。 Nǐ yǔ qí zuò chē, bùrú zuòchuán. It’s better for you to go by boat than by train. 與其說是粗心大意, 不如說是不負責任。 Yǔqí shuō shì cūxīndàyì, bùrú shuō shì bù fù zérèn. It’s not so much carelessness as irresponsibility.
冷清	leng3qing5	adjective cold and cheerless; desolate; lonely; deserted 冷清的商店 lěngqing de shāngdiàn deserted shop 冷清的舊房子 lěngqing de jiù fángzi desolate (or lonely) old house 冷清的遊樂場 lěngqing de yóulèchǎng unfrequented pleasure resort 生意冷清。 shēngyi lěngqing Business is dull. 他一個人住著很冷清。 Tā yī ge rén zhù zhe hěn lěngqing. He’s very lonely living all by himself.
高就	gao1jiu4	verb polite expression move up to a higher position; get promotion 另有高就 lìngyǒugāojiù have landed a better job 聽說你要高就了。 tīngshuō nǐ yào gāojiù le. I’ve heard you’re moving up.
部門	bu4men2	noun department; branch 政府各部門 Zhèngfǔ gè bùmén various government departments 工業和農業是國民經濟的兩個重要部門。 Gōngyè hé nóngyè shì guómín jīngjì de liǎng ge zhòngyào bùmén. Industry and agriculture are the two important sectors of the national economy.
厲害	li4hai5	adjective 1 (of a wild animal or of one's temper, words, etc.) fierce; terrible 老虎比獅子還厲害。 lǎohǔ bǐ shīzi hái lìhai. Tigers are even fiercer than lions. 他這張嘴可厲害了。 Tā zhè zhāngzuǐ kě lìhai le. He has a sharp tongue. 2 (of a person) strict; stern; harsh 他的樣子很厲害。 Tā de yàngzi hěn lìhai. His appearance is very stern. 我要給他點兒厲害。 Wǒ yào gěi tā diǎnrlìhai. I’ll teach him a lesson. 我們老師很厲害。 Wǒmen lǎoshī hěn lìhai. Our teacher is very strict. 3 (of illness, heat, cold, etc.) intense; severe; terrible 疼得厲害 Téng de lìhai suffer from severe pain 他病得很厲害。 tā bìng de hěn lìhai. He is seriously ill. 這著棋非常厲害。 Zhè zhuóqí fēicháng lìhai. That’s a devastating (chess) move. 這種煙太厲害。 zhèzhǒng yān tài lìhai. This kind of tobacco is too strong. 這幾天熱得厲害。 Zhè jǐ tiān rè de lìhai. It’s been terribly hot these few days. 4 colloquial great; impressive; awesome; amazing 她是個很厲害的演員。 Tā shì ge hěn lìhai de yǎnyuán. She's a fantastic actress. 他的聲音真的很厲害。 Tā de shēngyīn zhēn de hěn lìhai. His voice is amazing. 她下象棋下得很厲害。 Tā xià xiàngqí xià de hěn lìhai. She plays chess extremely well.
加班	jia1//ban1	verb work overtime; work an extra shift 加班火車 jiābān huǒchē additional train 加班加點 jiābān-jiādiǎn work extra shifts or extra hours; put in extra hours 今天晚上我們得加個班, 不能去看電影。 Jīntiān wǎnshang wǒmen děi jiā ge bān, bù néng qù kàn diànyǐng. We’ve got to work overtime tonight, so we can’t go to the movies.
類	lei4	noun kind; type; class; category 兔類 tùlèi the rabbit species 各類蝴蝶 gèlèi húdié butterflies of various species 諸如此類 zhūrúcǐlèi things of that sort 這是另一類問題。 Zhè shì lìng yī lèi wèntí. This is a problem of another kind.  verb resemble; be similar to 相類 xiānglèi resemble each other  affix like; -oid (meaning “similar to, characteristic of”) See 25521664類人猿lei4ren2yuan2類人猿
恐怖片	kong3bu4pian4	horror movie M: 部bù [部]
愛情片	ai4qing2pian4	romance film
嚇	xia4	verb frighten; scare; intimidate 嚇壞了 Xiàhuài le terribly frightened; overcome with fear; scared stiff 嚇破了膽 xià pò le dǎn scared out of one’s wits; terrified 把我嚇一跳 bǎ wǒ xià yī tiào give me a start (or scare) 別嚇著孩子。 Bié xià zhe háizi. Don’t frighten the child. 這種困難嚇不倒我們。 Zhèzhǒng kùnnan xià bù dǎo wǒmen. Difficulties like this don’t scare us.
哭	ku1	verb cry; weep; wail 哭了起來 Kū le qǐlai burst into tears 哭得死去活來 kū de sǐqùhuólái weep one’s heart (or eyes) out; weep oneselfout 《哭任弼時同志》 《Kū Rèn Bì Shí Tóngzhì》 “Lament for Comrade Ren Bishi” 大哭一場 dà kū yī cháng have a good blub 又哭又鬧 Yòu kū yòu nào make a tearful scene
上癮	shang4//yin3	verb be addicted (to sth.); get into the habit (of doing sth.) 吸毒上了癮 xīdú shàng le yǐn be addicted to drugs; be a drug addict 他抽煙抽上了癮。 Tā chōuyān chōu shàng le yǐn. He’s got into the habit of smoking. 這種藥吃久了會上癮。 Zhèzhǒng yào chī jiǔ le huì shàng yǐn. This medicine is habit-forming. 她看偵探小說看上癮了。 Tā kàn zhēntàn xiǎoshuō kàn shàngyǐn le. She’s developed a yen for detective stories.
刺激	ci4ji1	noun stimulation; stimulus; incentive 強刺激 Qiángcìjī strong stimulus 物質刺激 wùzhì cìjī material incentive 精神刺激 jīngshen cìjī spiritual incentive 競爭給產業以有力的刺激。 Jìngzhēng gěi chǎnyè yǐ yǒulì de cìjī. Competition is a strong incentive to industry.  verb 1 stimulate; urge on; encourage 刺激神經 cìjī shénjīng stimulate sb.’s nerves 刺激生產 Cìjī shēngchǎn stimulate production 成績能刺激人們作出更大的努力。 Chéngjì néng cìjī rénmen zuò chū gèng dà de nǔlì. Success will urge people on to greater efforts. 2 provoke; irritate; upset 別刺激他。 Bié cìjī tā. Don’t provoke him. 不幸的消息給了她很大的刺激。 bùxìng de xiāoxi gěi le tā hěn dà decìjī. She was badly upset by the sad news.
簡直	jian3zhi2	adverb simply; sheer; at all 簡直胡鬧。 jiǎnzhí húnào This is sheer foolishness. 簡直是浪費時間。 Jiǎnzhí shì làngfèi shíjiān. It’s a sheer waste of time. 天冷得簡直連口水都能凍起來。 Tiān lěng de jiǎnzhí lián kǒu shuǐ dōu néng dòng qǐlai. It was cold enough to freeze the spit in one’s mouth. 我簡直不敢相信自己的耳朵。 wǒ jiǎnzhí bù gǎn xiāngxìn zìjǐ de ěrduo. I could hardly believe my ears. 我簡直不能想象有這種事。 Wǒ jiǎnzhí bù néng xiǎngxiàng yǒu zhèzhǒng shì. I simply couldn’t imagine such a thing. 這車修理以後簡直跟新車一樣。 Zhè chē xiūlǐ yǐhòu jiǎnzhí gēn xīn chē yīyàng. When the car was repaired, it looked as good as new. 這個星期簡直沒有一個好天。 Zhè ge xīngqī jiǎnzhí méiyǒu yī ge hǎo tiān. We’vehad no fine weather at all this week. 這消息簡直好得叫人不敢相信。 Zhè xiāoxi jiǎnzhí hǎo de jiào rén bù gǎn xiāngxìn. The news is almost too good to be true.
